City,Location Name,Latitude,Longitude,Address
Chennai,TASMAC,12.9812505,80.1475975,"X4JX+G25, Mallika Nagar, Meenambakkam, Chennai, Tamil Nadu 600016, India"
Chennai,TASMAC Government Wine Shop,13.2606756,80.2895995,"R S, Main Road, Attipattu, Chennai, Nandiambakkam, Tamil Nadu 600120, India"
Chennai,TASMAC - Tamil Nadu State Marketing Corporation Limited,13.0700237,80.2712231,"Shop No, 34, Wallers Rd, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002, India"
Chennai,Tamil Nadu State Marketing Corporation Limited,13.0772206,80.26506119999999,"37G8+V2M, IV Floor, CMDA Tower-II, Gandhi Irwin Bridge Road, Triplicane, Egmore, Chennai, Tamil Nadu 600008, India"
Chennai,TASMAC,13.0582702,80.2242449,"15, Shanmuganar Salai, Sree Ram Puram, Kamaraj Nagar, Kodambakkam, Vada Agaram Rd, Sree Ram Puram, Kamaraj Nagar, Kodambakkam, Chennai, Tamil Nadu 600024, India"
Chennai,Tasmac,13.0999214,80.22601689999999,"36XG+X97, Parasurama Eswaran Koil Main St, Ramanuja Nagar, United India Nagar, Ayanavaram, Chennai, Tamil Nadu 600023, India"
Chennai,Tasmac,13.0656166,80.2738241,"No. 19, Triplicane High Rd, Ellis Puram, Padupakkam, Triplicane, Chennai, Tamil Nadu 600005, India"
Chennai,TASMAC Wine shop,13.0373992,80.2341586,"26PM+XM3, Dhandapani St, T. Nagar, Chennai, Tamil Nadu 600017, India"
Chennai,TASMAC,13.0360302,80.2674153,"27P8+CX7, Canal Bank Rd, Kapali Thottam, Mylapore, Chennai, Tamil Nadu 600004, India"
Chennai,Tasmac 513,13.0487698,80.2036845,"26X3+GF3, Arunachalam Rd, Velayutham Colony, Saligramam, Chennai, Tamil Nadu 600093, India"
Chennai,Tasmac Egmore,13.0691929,80.256849,"Shop No.6, Alsa Mall, Red Cross Rd, Egmore, Chennai, Tamil Nadu 600008, India"
Chennai,Elite TASMAC,12.9750646,80.2202502,"Vighnesh, 92, Velachery - Tambaram Main Rd, First Segment, Vijaya Nagar, Velachery, Chennai, Tamil Nadu 600042, India"
Chennai,TASMAC,12.9874621,80.2555627,"X7P4+X6P, SH 49, Ranganatha Puram, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India"
Chennai,TASMAC Elite,12.9204586,80.2511784,"2, 86, SH 49, Cholamandal Artists Village, Injambakkam, Chennai, Tamil Nadu 600115, India"
Chennai,TASMAC,13.1160588,80.2249107,"468F+CXG, Kandasamy St, Masakkalipalayam, Periyar Nagar West, Perambur, Chennai, Tamil Nadu 600082, India"
Chennai,Tasmac,13.0086749,80.2121645,"735, 4th Floor, LLA Building, Anna Salai, Race View Colony, Guindy, Chennai, Tamil Nadu 600032, India"
Chennai,TASMAC,13.0545481,80.1445653,"343V+RR8, Rajiv Nagar, Vanagaram, Chennai, Adayalampattu, Tamil Nadu 600095, India"
Chennai,TASMAC,13.0778978,80.2634238,"4654, Egmore, Chennai, Tamil Nadu 600026, India"
Chennai,TASMAC Agasthya,13.123357,80.2877961,"47FQ+84M, Sanjeevarayanpet, Old Washermanpet, Chennai, Tamil Nadu 600021, India"
Chennai,TASMAC,13.0374909,80.25125489999999,"Shop No. 894, 20/1, Tiruvalluvar Salai, Seethammal Colony, Lubdhi Colony, Teynampet, Chennai, Tamil Nadu 600018, India"
Chennai,Elite Tasmac,13.0533183,80.2493307,"Gemini Parson Complex, 1, Dr MGR Salai, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600006, India"
Chennai,Tasmac,13.0261465,80.1749519,"NO.4, Mount Poonamallee Rd, Park Dugar, Ramapuram, Chennai, Tamil Nadu 600089, India"
Chennai,Elite TASMAC Adyar,13.00386,80.25179539999999,"9, Kasturba Nagar 3rd Cross St, Old Narasingapuram, Rukmani Nagar, Adyar, Chennai, Tamil Nadu 600020, India"
Chennai,TASMAC,12.9914849,80.21632029999999,"142, Phoenix Market City St, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India"
Chennai,TASMAC Wine Shop,13.0476298,80.2455253,"T. Nagar, Chennai, Tamil Nadu 600017, India"
Chennai,Tasmac Elite,13.0825167,80.21381769999999,"147, 2nd Ave, Block AC, AB Block, AC Block, Anna Nagar, Chennai, Tamil Nadu 600040, India"
Chennai,Tasmac,12.9245388,80.12613809999999,"144, Bharathamadha St, Railway Colony, East Tambaram, Tambaram, Chennai, Tamil Nadu 600059, India"
Chennai,Tasmac elite shop,13.027222,80.2588203,"2nd Main Road, opposite to Not Just Brown, Raja Annamalai Puram, RA Puram, Trustpakkam, Mandaveli, Chennai, Tamil Nadu 600028, India"
Chennai,Tasmac elite shop,12.9762175,80.258871,"68, SH 49, ecr road, Valmiki Nagar, Netaji Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India"
